model,timm_name,parameters,trainable_parameters,non_trainable_parameters,parameters_millions,gmacs,flops_estimate_g,model_size_mb,gmacs_method
resnet18,resnet18,11179077,11179077,0,11.179,1.8186,3.6371,42.717,fvcore.FlopCountAnalysis (MAC=1)
resnet50,resnet50,23518277,23518277,0,23.518,4.1095,8.2189,90.006,fvcore.FlopCountAnalysis (MAC=1)
densenet121,densenet121,6958981,6958981,0,6.959,2.8645,5.7291,27.095,fvcore.FlopCountAnalysis (MAC=1)
efficientnet_b0,efficientnet_b0,4013953,4013953,0,4.014,0.3981,0.7962,15.577,fvcore.FlopCountAnalysis (MAC=1)
mobilenet_v2,mobilenetv2_100,2230277,2230277,0,2.23,0.3129,0.6258,8.728,fvcore.FlopCountAnalysis (MAC=1)
mobilenet_v3_large,mobilenetv3_large_100,4208437,4208437,0,4.208,0.2242,0.4483,16.24,fvcore.FlopCountAnalysis (MAC=1)
efficientnet_b1,efficientnet_b1,6519589,6519589,0,6.52,0.5871,1.1742,25.254,fvcore.FlopCountAnalysis (MAC=1)
inception_v3,inception_v3,21795813,21795813,0,21.796,2.8452,5.6905,83.444,fvcore.FlopCountAnalysis (MAC=1)
xception,legacy_xception,20817197,20817197,0,20.817,4.5742,9.1483,79.701,fvcore.FlopCountAnalysis (MAC=1)
convnext_tiny,convnext_tiny,27823973,27823973,0,27.824,4.4697,8.9393,106.198,fvcore.FlopCountAnalysis (MAC=1)
